loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
126,5,Not Graduate,No,1650000,5600000,4,622,9720000,2710000,6080000.0,14730000,Approved
127,0,Not Graduate,Yes,8380000,4310000,16,329,17990000,13740000,7930000.0,8650000,Rejected
128,5,Not Graduate,No,2080000,2010000,20,523,12050000,17790000,20120000.0,7190000,Rejected
129,4,Graduate,Yes,1280000,500000,14,524,5870000,20680000,26630000.0,8520000,Rejected
130,3,Graduate,No,620000,1160000,10,841,10520000,16490000,25030000.0,5040000,Approved
131,4,Graduate,Yes,4350000,2680000,18,671,1470000,19590000,4440000.0,11850000,Approved
132,5,Not Graduate,No,6780000,3920000,10,532,11870000,11830000,380000.0,6010000,Rejected
133,5,Graduate,No,3640000,6390000,20,497,4880000,18950000,19770000.0,8890000,Rejected
134,3,Graduate,No,6940000,5910000,20,532,15850000,15130000,3490000.0,2440000,Rejected
135,3,Not Graduate,Yes,2560000,3310000,18,757,18980000,4180000,1180000.0,2530000,Approved
136,3,Not Graduate,Yes,2980000,3860000,20,400,11990000,14280000,24720000.0,1320000,Rejected
137,4,Graduate,No,5970000,5300000,12,323,9740000,1720000,8460000.0,980000,Rejected
138,4,Not Graduate,No,5770000,3950000,10,865,12840000,6080000,23250000.0,6780000,Approved
139,0,Not Graduate,Yes,2310000,6120000,12,775,19800000,11460000,12600000.0,17780000,Approved
140,0,Not Graduate,Yes,6980000,2430000,4,736,9690000,13700000,3250000.0,5430000,Approved
141,3,Graduate,Yes,4400000,6780000,12,571,3160000,24340000,3240000.0,16220000,Approved
142,0,Not Graduate,No,5900000,4260000,2,633,19770000,23130000,6370000.0,6370000,Approved
143,2,Graduate,Yes,480000,4930000,20,426,13590000,5460000,9740000.0,10330000,Rejected
144,1,Not Graduate,No,2620000,3300000,8,750,18510000,7710000,23030000.0,4880000,Approved
145,3,Graduate,No,2030000,4800000,10,785,6900000,24550000,4530000.0,1240000,Approved
146,3,Graduate,Yes,4500000,6310000,6,479,15580000,16460000,15450000.0,5850000,Rejected
147,3,Not Graduate,Yes,7280000,1870000,16,551,7720000,15360000,20580000.0,18940000,Approved
148,1,Not Graduate,No,8400000,900000,20,536,10990000,19090000,26330000.0,19790000,Rejected
149,5,Graduate,Yes,6530000,3360000,14,861,15280000,15080000,8000000.0,1980000,Approved
150,1,Not Graduate,Yes,1460000,260000,10,877,11210000,8260000,21030000.0,3410000,Approved
151,4,Graduate,Yes,170000,630000,16,375,9580000,7830000,22820000.0,16620000,Rejected
152,2,Graduate,No,6480000,2230000,2,892,6740000,5970000,8220000.0,4250000,Approved
153,5,Not Graduate,No,1570000,4130000,12,833,1190000,11160000,25890000.0,18500000,Approved
154,3,Graduate,Yes,170000,2250000,18,673,1860000,17870000,26160000.0,11200000,Approved
155,3,Graduate,Yes,6560000,4290000,12,674,18370000,3130000,24650000.0,5340000,Approved
156,4,Graduate,Yes,3440000,4980000,6,867,7230000,3950000,660000.0,8220000,Approved
157,4,Graduate,Yes,7730000,4230000,2,696,730000,6570000,4790000.0,3260000,Approved
158,2,Not Graduate,No,4330000,5170000,18,818,4720000,5810000,11530000.0,7700000,Approved
159,4,Graduate,No,5030000,4800000,20,728,8260000,5720000,7750000.0,14350000,Approved
160,5,Not Graduate,Yes,5800000,3270000,4,555,10050000,13360000,26620000.0,7090000,Approved
161,4,Graduate,Yes,490000,2210000,2,587,16120000,10800000,1480000.0,10250000,Approved
162,3,Graduate,No,7150000,2710000,10,520,6700000,1090000,12840000.0,17530000,Rejected
163,5,Not Graduate,Yes,7510000,2300000,14,473,5300000,9060000,8900000.0,6700000,Rejected
164,0,Graduate,Yes,5040000,6900000,2,862,5050000,23790000,5370000.0,11710000,Approved
165,4,Graduate,No,890000,2410000,2,356,8010000,880000,14360000.0,11390000,Approved
166,2,Graduate,Yes,300000,4550000,4,831,9010000,8300000,13160000.0,10500000,Approved
167,0,Graduate,Yes,3860000,3330000,2,643,13680000,17260000,2840000.0,4780000,Approved
168,2,Not Graduate,No,3070000,6690000,16,308,19520000,9000000,20940000.0,820000,Rejected
169,5,Not Graduate,Yes,7810000,4010000,10,542,870000,13550000,1180000.0,1770000,Rejected
170,3,Not Graduate,Yes,5670000,6130000,6,878,18580000,3860000,4980000.0,16630000,Approved
171,3,Graduate,Yes,5750000,5330000,20,770,2650000,5390000,27520000.0,10190000,Approved
172,1,Graduate,No,8730000,3530000,20,429,10740000,5100000,3460000.0,18020000,Rejected
173,3,Graduate,No,6680000,720000,10,465,15850000,23710000,6650000.0,3610000,Rejected
174,4,Graduate,No,5580000,3250000,10,444,18240000,14160000,26830000.0,19500000,Rejected
175,2,Graduate,Yes,4450000,6690000,16,531,14680000,15770000,19850000.0,2460000,Rejected
176,4,Graduate,Yes,1640000,490000,10,538,12440000,570000,17200000.0,4140000,Rejected
177,3,Not Graduate,Yes,5110000,1750000,20,871,19830000,12970000,10680000.0,2820000,Approved
178,2,Not Graduate,Yes,5550000,2370000,6,652,2680000,8520000,7270000.0,19130000,Approved
179,0,Not Graduate,Yes,1190000,590000,14,690,18930000,15010000,2170000.0,8080000,Approved
180,1,Not Graduate,No,7180000,5240000,6,710,15500000,21090000,18630000.0,940000,Approved
181,5,Not Graduate,No,2630000,6920000,20,637,1280000,19240000,9060000.0,1460000,Approved
182,5,Not Graduate,No,6730000,4630000,18,511,6040000,14590000,10660000.0,18610000,Rejected
183,1,Graduate,Yes,3160000,4120000,4,400,14300000,3280000,3830000.0,16010000,Approved
184,3,Graduate,No,1740000,6230000,18,513,10960000,7940000,13810000.0,7930000,Rejected
185,3,Not Graduate,Yes,2730000,4210000,4,460,9790000,21910000,15080000.0,4840000,Approved
186,3,Not Graduate,No,190000,1850000,20,817,12150000,9730000,26340000.0,7340000,Approved
187,4,Not Graduate,Yes,1990000,3360000,4,494,7980000,7890000,12440000.0,2790000,Approved
188,5,Not Graduate,Yes,6390000,2920000,14,887,2460000,6280000,2040000.0,12600000,Approved
189,1,Not Graduate,No,2080000,740000,4,361,19730000,19500000,27070000.0,9450000,Approved
190,1,Not Graduate,Yes,1730000,4380000,4,598,3500000,22090000,26380000.0,2290000,Approved
191,4,Not Graduate,No,2220000,6890000,6,564,1150000,2820000,16770000.0,1160000,Approved
192,2,Graduate,Yes,7430000,1710000,12,555,12660000,8930000,27000000.0,17630000,Rejected
193,1,Not Graduate,No,4580000,4370000,16,363,14390000,1240000,9470000.0,7060000,Rejected
194,1,Not Graduate,Yes,7550000,2880000,8,499,300000,16810000,5120000.0,11140000,Rejected
195,1,Not Graduate,No,7730000,1430000,6,374,5860000,19840000,19420000.0,4430000,Rejected
196,0,Graduate,No,6480000,1190000,8,623,9750000,10020000,5110000.0,15180000,Approved
197,1,Graduate,No,4210000,360000,4,651,7770000,19430000,25350000.0,7150000,Approved
198,3,Not Graduate,Yes,990000,6620000,16,837,880000,3870000,14250000.0,6370000,Approved
199,0,Graduate,No,1680000,1210000,14,355,14200000,12220000,14630000.0,18150000,Rejected
200,1,Not Graduate,Yes,3970000,5680000,4,602,18810000,20950000,13670000.0,700000,Approved
201,1,Graduate,Yes,4410000,670000,8,681,10320000,20420000,16970000.0,8000000,Approved
202,5,Not Graduate,No,2830000,470000,20,815,10920000,23650000,910000.0,2430000,Approved
203,1,Not Graduate,No,170000,2270000,20,594,19190000,10800000,18420000.0,2760000,Approved
204,0,Graduate,No,7690000,5400000,12,731,7210000,2070000,9430000.0,15360000,Approved
205,2,Not Graduate,Yes,3520000,1730000,10,683,16550000,7420000,510000.0,12370000,Approved
206,2,Not Graduate,Yes,5330000,5810000,4,308,8090000,15970000,430000.0,4830000,Approved
207,4,Graduate,No,3690000,4880000,12,561,9610000,7490000,10190000.0,1810000,Approved
208,2,Not Graduate,Yes,900000,1700000,16,659,2710000,24010000,1480000.0,7100000,Approved
209,3,Not Graduate,No,8840000,6080000,16,549,17580000,20340000,5330000.0,4310000,Approved
210,0,Not Graduate,No,2100000,6590000,14,668,16110000,18200000,19500000.0,13830000,Approved
211,4,Graduate,No,630000,1240000,2,463,5930000,5650000,23900000.0,4410000,Rejected
212,1,Not Graduate,No,8610000,5700000,16,684,19250000,2290000,13970000.0,13370000,Approved
213,5,Not Graduate,Yes,3580000,940000,18,616,17450000,16450000,5600000.0,1660000,Approved
214,0,Not Graduate,Yes,7370000,3420000,12,395,5190000,8770000,22690000.0,15780000,Rejected
215,2,Not Graduate,Yes,2280000,3610000,2,568,590000,18450000,25560000.0,8490000,Approved
216,5,Not Graduate,No,4420000,5410000,2,748,300000,16430000,7590000.0,15310000,Approved
217,5,Not Graduate,Yes,760000,5720000,6,460,8620000,19210000,3400000.0,13600000,Rejected
218,0,Graduate,Yes,2550000,3110000,16,318,9320000,15100000,25630000.0,13300000,Rejected
219,0,Graduate,No,8580000,6290000,12,474,16940000,22200000,23970000.0,6440000,Rejected
220,0,Graduate,Yes,1320000,1290000,10,615,2870000,22680000,29060000.0,11030000,Approved
221,2,Not Graduate,Yes,5260000,2670000,6,411,14850000,22180000,18300000.0,18410000,Rejected
222,0,Not Graduate,Yes,6640000,1520000,14,895,10860000,11330000,17540000.0,10990000,Approved
223,0,Not Graduate,No,6750000,4240000,4,567,10840000,21400000,8010000.0,7490000,Approved
224,3,Not Graduate,Yes,4970000,3040000,14,675,6820000,17230000,27490000.0,5680000,Approved
225,4,Not Graduate,No,3750000,5950000,6,604,14740000,18460000,22260000.0,4550000,Approved
226,1,Not Graduate,No,1650000,1620000,14,680,18000000,4730000,4210000.0,350000,Approved
227,1,Graduate,No,4590000,260000,4,616,5140000,17430000,19100000.0,9570000,Approved
228,1,Graduate,Yes,6120000,5390000,8,391,2230000,7850000,19040000.0,3570000,Rejected
229,2,Not Graduate,No,8840000,6650000,2,624,1100000,24750000,19960000.0,7480000,Approved
230,0,Not Graduate,No,6400000,6180000,4,432,12660000,12170000,29650000.0,17730000,Approved
231,0,Not Graduate,No,870000,2460000,20,426,9310000,19010000,28900000.0,4330000,Rejected
232,1,Graduate,Yes,580000,540000,2,803,19150000,16510000,14330000.0,9620000,Approved
233,1,Not Graduate,No,4450000,3530000,2,757,4040000,9660000,17780000.0,4090000,Approved
234,3,Graduate,No,4200000,1580000,10,392,9710000,9980000,16630000.0,6580000,Rejected
235,5,Not Graduate,No,6020000,6560000,4,460,16300000,17820000,4370000.0,7710000,Rejected
236,2,Graduate,Yes,5180000,4770000,4,667,7770000,19770000,27990000.0,3880000,Approved
237,5,Not Graduate,No,4400000,1420000,18,312,14050000,2450000,14000000.0,4550000,Rejected
238,1,Not Graduate,Yes,5040000,4580000,20,553,15400000,20350000,20290000.0,14980000,Approved
239,1,Graduate,Yes,2870000,4860000,6,425,8010000,21820000,28090000.0,16190000,Rejected
240,2,Graduate,Yes,2980000,6870000,6,712,13160000,13610000,11150000.0,18650000,Approved
241,0,Graduate,Yes,8060000,2560000,16,534,16030000,8250000,13240000.0,16410000,Rejected
242,3,Not Graduate,Yes,5400000,4690000,2,508,9300000,13470000,5510000.0,7060000,Rejected
243,4,Not Graduate,Yes,2180000,5930000,2,889,5620000,21860000,13240000.0,12990000,Approved
244,4,Graduate,Yes,7000000,1910000,6,852,6770000,4760000,13460000.0,6160000,Approved
245,1,Not Graduate,No,690000,2040000,10,834,10460000,15360000,8670000.0,15810000,Approved
246,2,Not Graduate,No,5410000,2800000,6,322,12580000,24060000,29460000.0,19790000,Rejected
247,4,Graduate,Yes,7400000,1830000,4,636,8770000,17040000,25580000.0,3860000,Approved
248,1,Not Graduate,No,5150000,5860000,16,359,9270000,18340000,15590000.0,250000,Rejected
249,2,Not Graduate,Yes,1780000,2360000,20,848,13000000,16280000,2060000.0,5890000,Approved
250,1,Graduate,Yes,5210000,5570000,10,877,8900000,15190000,1730000.0,3790000,Approved
251,1,Not Graduate,No,8590000,2410000,16,321,2850000,340000,8140000.0,18240000,Approved
252,1,Graduate,No,6810000,6070000,18,788,14510000,23230000,5920000.0,5050000,Approved
253,3,Graduate,No,5930000,1180000,20,727,13230000,7260000,4230000.0,3100000,Approved
254,5,Graduate,No,8250000,1690000,4,421,18450000,23990000,22730000.0,14380000,Rejected
255,2,Not Graduate,No,4380000,3090000,14,640,12520000,5160000,16200000.0,17250000,Approved
256,0,Not Graduate,Yes,2340000,6480000,14,464,15340000,18750000,22560000.0,8140000,Rejected
257,1,Not Graduate,No,2060000,6770000,6,467,10050000,20260000,5960000.0,2080000,Rejected
258,3,Not Graduate,No,7820000,710000,10,398,2500000,510000,29705600.000000015,15630000,Approved
259,4,Not Graduate,Yes,190000,4020000,8,559,1620000,20400000,2060000.0,4100000,Rejected
260,5,Not Graduate,Yes,1600000,2860000,20,779,14090000,14440000,7720000.0,10900000,Approved
261,4,Graduate,No,6180000,5450000,4,829,11180000,17580000,14570000.0,13230000,Approved
262,4,Not Graduate,No,3510000,1420000,18,884,6060000,24750000,15200000.0,18560000,Approved
263,1,Graduate,Yes,7990000,1890000,16,855,9070000,420000,20440000.0,7140000,Approved
264,3,Graduate,No,2530000,2460000,10,540,12770000,8280000,1850000.0,13440000,Approved
265,0,Not Graduate,No,4180000,5740000,14,652,16440000,1080000,8870000.0,3980000,Approved
266,0,Not Graduate,Yes,1490000,5260000,4,812,10700000,3640000,11760000.0,13500000,Approved
267,5,Graduate,No,3880000,5810000,16,556,10660000,15930000,18380000.0,10140000,Approved
268,4,Not Graduate,No,7340000,1360000,18,421,5150000,2260000,3230000.0,3190000,Rejected
269,3,Not Graduate,No,3850000,6380000,16,543,6040000,16220000,9280000.0,12560000,Rejected
270,5,Not Graduate,Yes,4120000,2720000,12,676,13790000,9060000,7090000.0,2010000,Approved
271,3,Graduate,Yes,2800000,930000,20,490,1050000,2580000,9420000.0,13500000,Rejected
272,1,Not Graduate,Yes,5780000,2820000,8,895,16700000,15480000,9020000.0,5340000,Approved
273,0,Graduate,No,5210000,5510000,2,759,16390000,7990000,5050000.0,12400000,Approved
274,4,Graduate,No,3530000,6540000,4,703,10180000,8950000,24680000.0,11580000,Approved
275,5,Graduate,Yes,3520000,6280000,4,326,860000,23480000,13010000.0,8480000,Rejected
276,1,Graduate,No,3000000,2070000,2,546,15680000,5130000,7750000.0,12890000,Rejected
277,3,Not Graduate,Yes,7050000,3720000,16,504,7150000,14910000,380000.0,1660000,Rejected
278,1,Graduate,Yes,8590000,6180000,6,479,13550000,13450000,10770000.0,6990000,Rejected
279,3,Graduate,Yes,7850000,6320000,12,725,690000,1220000,20620000.0,1260000,Approved
280,4,Not Graduate,Yes,8580000,2010000,18,351,9690000,21310000,540000.0,4080000,Rejected
281,1,Graduate,No,6290000,4170000,18,614,1990000,15470000,17580000.0,3080000,Approved
282,4,Not Graduate,Yes,4920000,6420000,16,681,470000,6830000,25030000.0,16000000,Approved
283,5,Not Graduate,No,6430000,1450000,12,776,11230000,19680000,16280000.0,1700000,Approved
284,0,Graduate,Yes,4410000,2250000,12,814,9250000,18450000,13980000.0,7060000,Approved
285,5,Not Graduate,Yes,2290000,4790000,12,770,12250000,12160000,11940000.0,13750000,Approved
286,5,Graduate,Yes,3960000,5390000,20,593,13430000,19280000,6590000.0,2820000,Approved
287,1,Not Graduate,Yes,6620000,4840000,16,453,9570000,12290000,11700000.0,1830000,Rejected
288,3,Graduate,Yes,6920000,1340000,4,585,11250000,9060000,23340000.0,11050000,Approved
289,2,Not Graduate,No,760000,3570000,6,422,1120000,4750000,16270000.0,19390000,Rejected
290,3,Not Graduate,No,2060000,1590000,2,463,19440000,6120000,28090000.0,1050000,Rejected
291,2,Graduate,Yes,3160000,2590000,20,609,14180000,19390000,27390000.0,2390000,Approved
292,2,Graduate,Yes,1490000,3560000,8,796,4330000,23500000,29140000.0,12050000,Approved
293,4,Not Graduate,Yes,520000,4770000,2,460,17700000,22480000,19560000.0,12480000,Approved
